	EXRN00	EXRN01	EXRN02	EXRN03	EXRN04	EXRSTD	PCL01	PCL02	PCL03	PCL04	PCL05	PCL06	PCL07	PCL08	PCL09	PCL10	PCL11	PCL12	PCL13	PCL14	PCL15	PCL16	PCL17	PCL18	PCL19	PCL20	PCL21	PCL22	PCRN01	PCRN02	PCRN03	PCRN04	PCRNSK1	PCRNSK2	PCRSTD01	PCRSTD02	PCRSTDSK	PCZ01	PCZ02	PCZ03	PCZ04	PCZ05	PCZ06	PCZ07	PCZ08	PCZ09	PCZ10	PCZ11	PCZ12	PCZ13	PCZ14	PCZ15	PCZ16	PCZ17	PCZ18	PCZ19	PCZ20	PCZ21	PCZ22	PCZ23	PCZ24	PCZ25	PCZ26	PCZ27	PCZ28	PCZ29	PCZ30	PLS01	PLS02	PLS03	PLS04	PLS05	PLS06	PLS07	PLS08	PLS09	PLS10	PLS11	PLS12	PLS13	PLS14	PLS15	PLS16	PLS17	PLS18	PLS19	PLS20	PWW01	PWW02	PWW03	PWW04	PWW05	PWW06	PWW07	PWW08	PWW09	PWW10	PWW11	PWZ01	PWZ02	PWZ03	PWZ04	PWZ05	PWZ06	PWZ07	PWZ08	PWZ09	PWZ10	UNCG288	UNCG289	UNCG290	UNCG293	UNCG294	UNCG295	UNCG318	UNCGN
ASV_33	0	0	0	0	5	0	360	1	654	234	0	298	0	0	180	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2080	1030	659	1583	64	345	237	39	830	57	1724	426	1167	875	282	115	700	1358	8	527	294	97	5	14	3246	765	1884	9	117	0	255	1126	994	658	945	1358	692	2380	1444	1753	1127	880	296	677	486	1499	761	109	472	1058	5	0	0	0	0	1	0	0	2	2	0	0	0	0	0	2	0	0	0	3	26	0	0	0	0	0	0	0	0
ASV_34	0	6	2	0	3	0	402	384	371	210	265	186	287	152	92	164	274	251	243	303	130	97	861	97	261	872	293	63	0	0	0	0	0	0	0	0	0	1103	433	324	869	46	93	81	82	174	40	327	384	193	219	119	98	273	206	4	146	87	33	186	138	717	137	446	103	21	5	281	633	307	310	614	750	496	1079	891	940	954	816	302	524	499	1060	406	142	278	582	1002	478	1285	183	417	545	646	410	273	309	3028	399	298	134	163	1317	305	19	25	112	21	48	608	172	79	103	596	206	0
ASV_35	3	0	0	0	0	5858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	14	0	0	0	0	0	0	0	4881	24475	2707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	6	0	5	0	948	60	329	205	244	172	656	312	145	17	35	4	112	0	0	2	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	523	138	9	511	275	242	499	53	223	165	400	94	149	817	880	569	423	152	5	423	103	0	260	123	296	12	215	189	74	4	525	20	129	48	268	267	98	98	351	136	168	35	229	30	251	144	324	281	153	1187	252	1964	2652	538	903	3614	236	3697	641	498	1516	439	112	0	112	261	889	1736	900	0	10	14	9	50	4	6	0	170	0
ASV_37	0	0	0	0	9	0	224	307	251	143	178	112	158	138	90	139	164	247	337	301	110	68	471	99	223	1373	257	72	0	3	0	0	0	0	0	0	0	882	476	642	557	36	128	70	137	279	69	504	525	226	263	178	99	258	392	6	128	128	100	173	290	900	223	466	224	57	0	187	501	284	234	524	686	323	777	712	728	844	526	249	502	337	769	481	92	329	724	989	957	907	1211	1620	463	1212	614	679	880	643	205	43	15	295	595	52	13	22	40	11	86	189	131	157	276	126	90	0
ASV_38	0	0	0	0	8	0	1070	516	310	366	256	332	504	61	67	26	84	1	417	80	0	982	1	788	2	236	2737	985	0	0	0	0	0	0	4	0	0	90	183	0	1284	228	149	757	307	349	126	12	35	27	32	19	248	1039	459	0	91	16	6	9	195	356	131	235	449	739	214	1344	145	13	53	793	39	498	1454	956	721	833	306	2216	1326	332	897	1435	1405	1438	1828	0	0	3	0	2	0	0	0	0	0	3	0	3	0	5	0	0	0	0	1	0	0	0	2	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	34	0	0	7	0	2	0	0	0	0	3	0	0	0	0	0	577	278	283	35	89	0	3225	176	5	1697	3	587	4962	6652	519	7	130	3	0	5013	652	2210	6289	3	4	2097	0	0	4	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	6	0	2	0	2	7	0	8	6	0	0	0	9	4	0	3	0	0	2	8	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	9	0	236	497	511	529	828	240	385	662	431	214	94	0	0	1	0	0	0	0	24	0	0	3	0	0	0	0	0	0	0	0	0	1491	546	1200	504	533	494	1112	89	1185	639	610	71	290	1092	18	644	457	421	5	521	226	523	0	50	568	195	224	146	92	1729	2426	275	505	295	1892	445	260	501	214	185	643	206	361	391	168	425	1086	231	2371	2240	0	0	3	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	1	29	68	1	8	1	0	0	0	0
ASV_41	0	0	1	2	4	0	0	9	0	0	0	0	2	2	0	3	0	0	0	0	0	0	0	4	43	0	0	2	0	6	0	0	0	0	0	0	0	896	76	1	989	1850	1879	3742	385	6160	2014	656	209	735	1376	44	1596	406	1349	21	2488	339	226	29	672	4940	1079	325	3	330	11	2	0	0	0	0	0	2	0	0	0	5	0	57	21	23	42	129	128	2	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	9	0	0	0	3	0	30	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	75	3789	991	853	2714	227	90	2380	4249	4630	29	116	582	366	30	416	4	1607	760	690	659	1828	0	0	0	0	0	0	2	0	0	4	3	0	5	3	0	0	0	0	0	0	1888	0	63	4	19	107	0	0	173	96	228	24	0	6	72	5	0	0	0	0	0	0	0	0	3	145	28	202	37	24	40	269	129	10	19	427	1940	2	0	3	0	6	814	0	0	0	137	0	5	4	0	2	3	15	0	1	0	0	0	0	465	36	160	0	0	0	0	0
ASV_43	0	0	0	0	2	0	601	800	348	358	824	123	613	340	390	917	186	414	300	130	356	205	546	428	497	574	1068	1	0	0	0	0	0	0	0	0	0	198	92	65	442	304	459	352	112	605	467	320	156	362	417	174	821	799	475	5	255	368	150	86	441	838	224	536	326	198	0	657	624	392	288	728	643	247	368	571	581	430	294	813	474	375	669	491	553	586	833	845	668	0	11	0	0	195	2	0	1323	406	0	0	0	9	1	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	323	804	556	958	816	143	1182	963	607	768	231	375	318	296	442	227	117	185	254	707	987	520	0	0	0	0	0	0	0	0	0	232	189	848	282	774	661	510	0	643	416	306	504	267	480	967	380	251	286	0	617	422	545	1172	572	608	261	469	532	121	62	618	278	183	144	549	358	245	615	659	710	300	363	588	397	362	523	518	568	632	268	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0	0	0	0	6	0	208	51	663	21	2342	190	0	0	1070	0	0	19	576	296	17	106	133	272	68	191	6466	2055	0	0	0	0	0	0	0	0	0	0	0	18	0	38	13	4	73	131	44	0	9	0	10	21	19	0	240	0	14	134	0	26	0	696	0	0	2049	21	715	102	109	0	17	71	74	292	497	2360	377	899	599	625	436	364	391	751	619	103	5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
ASV_46	0	0	2	5	0	0	500	844	396	255	297	272	151	432	347	497	192	569	319	175	452	269	269	117	685	899	787	647	0	0	0	0	0	0	0	0	0	369	27	189	378	307	81	1073	25	586	291	440	327	194	457	711	957	82	378	0	474	299	458	1408	315	460	237	80	368	35	807	5	10	0	8	10	0	221	176	316	174	435	99	254	167	90	276	232	446	120	977	325	559	1561	1018	447	299	732	1675	8	35	877	5	0	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0
